Fri. Sep. 28, 2012             LANDSAT 7                 Time: 08:22
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L4864603            Path/Row: 014 / 032

L0R Reference Image: L72EDC1999186150200_HDF.122720336
Acquisition Date: Jul 05, 1999

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
014   032   1999-09-23


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001   39.805434  -75.427445   -32.455       4.925    -5.077     5.781    -4.068
0140320002   40.844760  -73.788842   -27.396       1.141    -3.097     1.695    -2.829
0140320003   40.948134  -74.065321   -15.668       0.273    -1.410     0.530    -1.333
0140320004   40.978516  -73.787468    47.304      -0.814     0.128    -0.822    -0.025
0140320005   39.597576  -74.342643   -30.984      -0.484    -5.946     0.632    -5.927
0140320006   40.864834  -73.649647    -0.304      -5.794    -2.760    -5.178    -3.785
0140320007   40.869077  -74.151518    -4.729       1.975    -0.956     2.117    -0.572
0140320008   40.462764  -74.295361    -1.381       0.092     2.768    -0.423     2.735
0140320009   40.348343  -74.123108   -16.496      -3.342     3.830    -3.992     3.140
0140320010   40.600232  -75.454805    41.220       3.187    -2.262     3.548    -1.631
0140320011   40.627047  -74.167714   -25.800       2.970    -3.204     3.511    -2.594
0140320012   39.992673  -75.274339    41.869       1.008     0.312     0.931     0.494
0140320013   40.876867  -74.352585    25.543      -1.268    -1.160    -1.030    -1.374
0140320014   41.034599  -75.065550   265.632      -1.211    -3.232    -0.590    -3.397
0140320015   40.732542  -73.708102    -4.949       0.283     2.260    -0.140     2.272
0140320016   39.989676  -74.158986   -27.474      -1.665     0.549    -1.736     0.229
0140320017   40.909079  -74.530737   203.203      -1.682    -1.587    -1.357    -1.869
0140320018   40.362150  -74.024706   -18.215      -2.232     1.661    -2.499     1.216
0140320019   41.002140  -74.203678   125.341      -0.050     2.613    -0.532     2.556
0140320020   40.098094  -74.091837   -27.866       1.676     1.980     1.278     2.256
0140320021   40.155362  -75.136205    49.267       0.566    -2.857     1.087    -2.700
